user,Gender?,College,Whiskey Sour,Old Fashion,Whiskey Coke,Pickle Back,Tequila Sunrise,Margarita,Freddy��Fudpucker,Bacardi Cocktail,Rum and Coke,Mojito,Daiquiri,Malibu,Blue Hawaii,Mai Tai,Gimlet,Gin and Tonic,French 75,White Russian,Cran Vodka,Appletini,Cosmo,Blue Guy,Screwdriver,Moscow Mule,Lemon Drop,Sex on the Beach,Mimosa,Long Island,SF Slide,"Please add you favorite drinks we may have missed (seperate multiple values with a ',')",Start Date (UTC),Submit Date (UTC),Network ID
596a1b0d813f09a1abf6de6960536da4,Female,Other,-1,-1,1,0,1,1,0,1,-1,1,1,-1,1,0,0,1,0,-1,-1,-1,1,0,0,0,1,1,1,-1,0,,10/5/16 19:04,10/5/16 19:06,250cf81bc8
ba106d424881e0501a467f1baf1c770e,Male,Other,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,-1,1,1,0,,10/5/16 19:05,10/5/16 19:07,c013cf0398
b838c8c585ea8a409894b27060fbd28c,Male,College of LAS,1,0,1,0,1,1,0,0,1,1,1,1,1,1,-1,-1,0,1,1,-1,-1,1,1,1,-1,1,1,1,0,,10/5/16 18:56,10/5/16 19:07,fdf1c8f54a
dd042c40feaa3f3204998d2939d59e09,Male,College of LAS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Straight Everclear,10/5/16 19:07,10/5/16 19:09,93aa3cf3b7
46566bf157a4e99ea24f8bee4df99a2d,Female,Other,1,-1,-1,-1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,,10/5/16 19:18,10/5/16 19:20,e8efd10fa6
7dc73a7034b6c1004ce567d309939a6c,Male,College of LAS,1,0,1,0,0,1,0,1,1,1,1,-1,0,1,0,-1,0,1,1,1,-1,0,1,1,1,-1,1,1,0,"Gin shot, vodka shot, tequila shot, rum shot, whiskey shot, mint julep, dark & stormy, pi̱a colada, Manhattan, Irish Carbomb, ",10/5/16 19:23,10/5/16 19:29,2e7f9d7e6c
323d743e0f7457daae0f5d75d209c099,Female,College of Engineering,-1,-1,1,0,1,1,0,0,1,1,0,1,0,0,-1,1,1,1,1,0,0,1,1,1,1,1,0,-1,-1,,10/5/16 19:33,10/5/16 19:35,91c07dc57d
5fd800d36bfbbd48e37fef547acd8b5b,Female,Other,0,0,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,0,0,1,-1,0,Pina Colada,10/5/16 19:35,10/5/16 19:39,eb873e3973
a7a1975c4fc2add84714eba17040b03b,Female,DGS,-1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,,10/5/16 19:42,10/5/16 19:45,5174027a1c
1629551d84ed93c52e304f2a3125d066,Female,College of Engineering,-1,0,1,0,1,1,,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,,10/5/16 19:59,10/5/16 20:00,e035cf13bf
